timestamp,observations,average_gross_edge,maximum_gross_edge,average_net_edge,maximum_net_edge,qualified_opportunities
2026-09-21 15:54:00+00:00,11,-0.0019090909090907456,-0.0009999999999998,-0.003909090909090745,-0.0029999999999998,0
2026-09-21 15:55:00+00:00,58,-0.0012068965517239864,-0.0009999999999998,-0.0032068965517239863,-0.0029999999999998,0
2026-09-21 15:56:00+00:00,69,-0.0013043478260868044,-0.0009999999999998,-0.0033043478260868044,-0.0029999999999998,0
2026-09-21 15:57:00+00:00,69,-0.0013043478260868044,-0.0009999999999998,-0.0033043478260868044,-0.0029999999999998,0
2026-09-21 15:58:00+00:00,43,-0.0012558139534882093,-0.0009999999999998,-0.003255813953488209,-0.0029999999999998,0
2026-09-21 15:59:00+00:00,26,-0.0013076923076921615,-0.0009999999999998,-0.0033076923076921618,-0.0029999999999998,0
2026-09-21 16:00:00+00:00,69,-0.0012753623188404234,-0.0009999999999998,-0.0032753623188404232,-0.0029999999999998,0
2026-09-21 16:01:00+00:00,69,-0.0012608695652172363,-0.0009999999999998,-0.0032608695652172363,-0.0029999999999998,0
2026-09-21 16:02:00+00:00,69,-0.0012608695652172363,-0.0009999999999998,-0.0032608695652172363,-0.0029999999999998,0
2026-09-21 16:03:00+00:00,3,-0.0016666666666664668,-0.0009999999999998,-0.0036666666666664662,-0.0029999999999998,0
2026-09-21 16:04:00+00:00,66,-0.0012424242424240895,-0.0009999999999998,-0.0032424242424240897,-0.0029999999999998,0
